timestamp,rrInterval,areaUp,areaDown,motion
1693556654930,670,964,1803,0
1693556655660,730,769,3499,2
1693556656370,710,538,3089,0
1693556656650,280,789,130,0
1693556657720,1070,943,3517,0
1693556658360,640,663,3015,0
1693556659080,720,612,5299,10
1693556660770,1690,36837,26243,58
1693556662390,1620,83893,14389,112
1693556662750,360,1057,2711,58
1693556663600,850,13814,6864,300
1693556664300,700,3936,3841,394
1693556665000,700,1858,6319,170
1693556665590,590,483,1053,158
1693556666130,540,4819,1027,54
1693556666670,540,968,3532,60
1693556667220,550,1243,4632,110
1693556667900,680,4029,699,138
1693556668340,440,711,871,64
1693556668880,540,1092,3441,68
1693556669160,280,937,278,22
1693556669960,800,1792,3703,36
1693556670510,550,644,2763,38
1693556671070,560,719,3162,62
1693556671700,630,2314,1983,86
1693556672550,850,2419,6676,252
1693556673320,770,4655,1153,232
1693556674130,810,2638,4089,136
1693556674680,550,1437,4354,98
1693556675260,580,2902,4606,92
1693556675810,550,1059,4008,154
1693556676420,610,8808,6575,160
1693556676970,550,1151,5616,48
1693556677500,530,2629,2308,28
1693556678120,620,4989,3557,50
1693556679240,1120,4995,21355,124
1693556679850,610,1095,18709,412
1693556680460,610,8846,3695,112
1693556681130,670,3602,2008,54
1693556682850,1720,16608,12626,144
1693556683350,500,1563,4149,12
1693556683850,500,1483,3311,16
1693556684340,490,1257,3368,6
1693556684850,510,6022,945,32
1693556685350,500,873,3286,40
1693556685820,470,990,2447,38
1693556686320,500,902,4052,26
1693556686750,430,1217,1423,34
1693556687280,530,994,1845,10
1693556687800,520,973,2459,4
1693556688090,290,700,338,2
1693556688860,540,1036,1930,14
1693556689420,560,846,3372,14
1693556690000,580,814,4051,16
1693556690580,580,4305,150,28
1693556691130,550,2257,775,38
1693556691860,730,2232,11448,170
1693556692410,550,3150,1545,150
1693556692960,550,2722,3544,270
1693556693510,550,2604,15238,398
1693556694030,520,2325,2554,98
1693556694590,560,10593,957,120
1693556695140,550,2100,1186,138
1693556696230,1090,3256,7410,98
1693556696790,560,1887,1431,36
1693556697350,560,4004,12802,126
1693556697780,430,7990,1897,44
1693556698340,560,4960,6796,122
1693556698680,340,335,9148,48
1693556699240,560,3798,3945,92
1693556699670,430,415,9880,140
1693556700200,530,8437,600,118
1693556700990,560,1791,5553,146
1693556702030,1040,4747,21484,116
1693556702680,650,10789,693,94
1693556709250,300,405,1518,44
1693556710180,930,7735,5449,148
1693556710690,510,3611,736,74
1693556711140,450,2572,1797,86
1693556712240,1100,3754,1527,78
1693556712830,590,1494,3793,6
1693556713380,550,625,3236,10
1693556713940,560,1192,1431,2
1693556714530,590,1003,2156,4
1693556715160,630,890,3452,4
1693556715810,650,807,3297,6
1693556716480,670,879,1342,2
1693556717180,700,1424,4495,0
1693556718550,1370,1263,9114,2
1693556719900,1350,11436,5673,10
1693556720560,660,2860,1416,0
1693556721220,660,1134,2142,4
1693556722530,1310,3799,6975,28
1693556723810,1280,13285,12841,38
1693556724450,640,1670,2353,36
1693556725090,640,5574,3261,198
1693556725810,720,2656,5564,56
1693556726340,530,4885,916,118
1693556726630,290,841,598,104
1693556726930,300,610,1206,74
1693556727570,640,1556,697,86
1693556728650,1080,982,24660,96
1693556730010,1360,14477,4202,94
